Evalyn ID,Spørgeskema ID,FLOQSwab ID,Sampling rækkefølge
A58452005,24hvh247717,24hvh247717,1
A22347583,24hvh460397,24hvh460397,1
A81808585,24hvh693898,24hvh693898,1
A81100683,24hvh163323,24hvh163323,1
A48237200,24hvh848495,24hvh848495,2
A67251350,24hvh809430,24hvh809430,2
A66971788,24hvh144175,24hvh144175,2
A96006931,24hvh103278,24hvh103278,1
A57034521,24hvh496418,24hvh496418,1
A92878234,24hvh947017,24hvh947017,1
A72676606,24hvh451737,24hvh451737,1
A71187364,24hvh487321,24hvh487321,1
A52835647,24hvh238681,24hvh238681,2
A97820842,24hvh790004,24hvh790004,2
A93646870,24hvh980887,24hvh980887,2
A85251518,24hvh171690,24hvh171690,2
A96541160,24hvh785045,24hvh785045,1
A68961785,24hvh928809,24hvh928809,2
A32494513,24hvh340338,24hvh340338,2
A22801297,24hvh670638,24hvh670638,1
A90286111,24hvh934793,24hvh934793,2
A72058548,24hvh719663,24hvh719663,1
A18143843,24hvh143286,24hvh143286,1
A32613520,24hvh881116,24hvh881116,1
A82832026,24hvh587618,24hvh587618,1
A22558046,24hvh702995,24hvh702995,1
A28080481,24hvh646533,24hvh646533,2
A47593540,24hvh512253,24hvh512253,2
A37111591,24hvh395008,24hvh395008,2
A88271346,24hvh725074,24hvh725074,2
A58456231,24hvh722645,24hvh722645,2
A51798893,24hvh886074,24hvh886074,2
A96175456,24hvh604856,24hvh604856,2
A46615147,24hvh934352,24hvh934352,1
A97640469,24hvh890298,24hvh890298,1
A84104426,24hvh816265,24hvh816265,2
A18355077,24hvh949462,24hvh949462,1
A67336978,24hvh654153,24hvh654153,2
A68640330,24hvh125141,24hvh125141,2
A45922271,24hvh107864,24hvh107864,2
A38124776,24hvh737707,24hvh737707,2
A23356110,24hvh903912,24hvh903912,1
A27389123,24hvh944985,24hvh944985,2
A25445371,24hvh992624,24hvh992624,2
A28270334,24hvh356919,24hvh356919,2
A63928202,24hvh117639,24hvh117639,1
A84277810,24hvh375989,24hvh375989,1
A97464176,24hvh928395,24hvh928395,1
A94546064,24hvh819172,24hvh819172,1
A29178070,24hvh152234,24hvh152234,2
A89297555,24hvh700225,24hvh700225,2
A97886844,24hvh419377,24hvh419377,2
A48746975,24hvh172641,24hvh172641,1
A44681202,24hvh119848,24hvh119848,1
A61787696,24hvh695475,24hvh695475,1
A42215886,24hvh867956,24hvh867956,1
A14889030,24hvh801297,24hvh801297,2
A51433363,24hvh260028,24hvh260028,2
A17467299,24hvh307006,24hvh307006,2
A81766840,24hvh784703,24hvh784703,2
A84579555,24hvh641225,24hvh641225,2
A97418621,24hvh299182,24hvh299182,1
A70903695,24hvh884278,24hvh884278,2
A82073130,24hvh683103,24hvh683103,1
A96326393,24hvh767504,24hvh767504,2
A90207362,24hvh964006,24hvh964006,1
A15226390,24hvh154447,24hvh154447,1
A72671523,24hvh556879,24hvh556879,1
A36973439,24hvh748666,24hvh748666,2
A46959875,24hvh355952,24hvh355952,2
A63210093,24hvh678346,24hvh678346,2
A84354559,24hvh931783,24hvh931783,1
A49128167,24hvh779948,24hvh779948,2
A14084200,24hvh536587,24hvh536587,2
A51921687,24hvh259829,24hvh259829,1
A99981497,24hvh178323,24hvh178323,1
A68482982,24hvh235173,24hvh235173,1
A34032010,24hvh111372,24hvh111372,2
A34743968,24hvh287113,24hvh287113,1
A94140157,24hvh144293,24hvh144293,2
A42557194,24hvh529991,24hvh529991,2
A17857834,24hvh611484,24hvh611484,1
A98957082,24hvh315132,24hvh315132,1
A71386915,24hvh889175,24hvh889175,2
A45982435,24hvh572704,24hvh572704,2
A77154673,24hvh415507,24hvh415507,2
A29437728,24hvh974926,24hvh974926,2
A93028978,24hvh693438,24hvh693438,1
A95912471,24hvh166782,24hvh166782,2
A19355233,24hvh870076,24hvh870076,1
A20524449,24hvh828666,24hvh828666,1
A25452670,24hvh448391,24hvh448391,1
A52448250,24hvh103297,24hvh103297,2
A64355978,24hvh625397,24hvh625397,2
A64738064,24hvh646376,24hvh646376,1
A86377530,24hvh630822,24hvh630822,1
A44130754,24hvh785970,24hvh785970,2
A28320662,24hvh800827,24hvh800827,2
A34787795,24hvh299654,24hvh299654,2
A54270457,24hvh531651,24hvh531651,2
